text,label,notes
"Underground concerts are MUCH better than mainstream ones. I went to a mainstream concert with several popular artists and the crowd barely sang, moved, or showed energy. Months earlier I went to a much smaller underground concert where the crowd was intense, there were mosh pits, and everyone knew the words. The smaller show felt much more alive even with far fewer people.",analysis,Compares two concert experiences with supporting observations.
"This is one of those if you know, you know things. You're absolutely right, in my experience. Plus, it's easier to talk to or meet the musicians afterwards.",analysis,Agrees but gives a specific reason about musician access.
"Totally agree. The top shows I've been to were cheap small gigs. The band does not have to compete with crowd noise, you can get close, nothing feels scripted, the musicians seem like they are having fun, and you can talk to them afterwards.",analysis,Gives several concrete reasons for preferring small gigs.
"I'll gladly pay to see established acts like Swans or Laibach. Small no-name bands in front of fifty people are more hit or miss, and as I get older the appeal is lower.",analysis,Balances the claim by explaining a counterpoint.
Is it still possible to catch a Swans or Laibach show for thirty or forty dollars?,personal_reaction,Simple question without an argument.
It is in Europe.,personal_reaction,Short factual reply with no broader reasoning.
I think I paid around forty dollars for Swans last year in Detroit.,personal_reaction,Personal experience without analysis.
"I had two shows this week, one stadium show and one club show. At the stadium I was seated far away from the performers, but at the club show I was close enough to fist bump the band. It was a night and day difference, and the club show felt much more special.",analysis,Compares two settings and explains the preference.
"Exactly, the artist actually came into the crowd and hit me with his dreads. Peak experience.",personal_reaction,Mostly describes excitement from a personal moment.
"What is your definition of underground? If a band tours the entire country, they may not be underground. Underground usually refers to shows that are not formally registered, not just bands that are less popular.",analysis,Clarifies a term and gives reasoning.
There is a huge network of DIY bands touring small bars and houses. Probably way more than you think.,analysis,Makes a corrective claim with context.
"Some might not call them underground, but they had no real venue and only about sixteen thousand monthly listeners compared with mainstream artists at around five hundred thousand, so I would still call them underground.",analysis,Defines underground using specific comparisons.
A show in someone's basement or an unlicensed venue can be the best kind of show. The lack of formal staff and security can create a house party vibe where people relax more.,analysis,Explains why informal venues can feel better.
I have mostly stopped caring about big music acts that are about fandom. I just want to hear music performed with individual interpretation. The hype adds nothing for my enjoyment.,analysis,Explains a preference with reasoning.
Underground is for real fans and real fans bring energy that cannot be faked. Popular events attract people who just want something to do.,hot_take,Strong generalization with limited support.
I go out to see tons of underground bands I know very little about. It is cheaper than seeing a mainstream artist just as something to do.,analysis,Pushes back with personal evidence and reasoning.
"If we are including small indie gigs then yes, I agree. I do not really think of bands as underground the same way I think of clubs and dance music, though.",analysis,Distinguishes between meanings of underground.
